epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,146.419,0.59881,0.56832,0.92746,0.94857,0.9715,0.9925,0.75226,0.96398,0.57731,1.19753,0.0006338,0.0006338,0.0006338
71,148.736,0.67091,0.55216,0.95865,0.94673,0.93588,0.98497,0.73981,0.97376,0.57878,1.17626,0.000614,0.000614,0.000614
72,150.699,0.5716,0.51192,0.92093,0.88782,0.94737,0.96517,0.73657,0.97585,0.5988,1.16789,0.0005942,0.0005942,0.0005942
73,152.722,0.63203,0.50342,0.90555,0.86144,0.98218,0.96513,0.75478,0.94997,0.57127,1.16902,0.0005744,0.0005744,0.0005744
74,154.902,0.60563,0.50831,0.90594,0.85688,1,0.97429,0.75522,0.9116,0.52616,1.18363,0.0005546,0.0005546,0.0005546
75,156.81,0.56051,0.48394,0.93649,0.89745,1,0.97659,0.75636,0.91769,0.53447,1.18799,0.0005348,0.0005348,0.0005348
76,158.989,0.60315,0.53258,0.91068,0.94864,0.97276,0.977,0.74064,0.97622,0.55024,1.2171,0.000515,0.000515,0.000515
77,160.898,0.57213,0.50922,0.93896,0.94989,0.99771,0.9795,0.73909,0.98383,0.56178,1.22226,0.0004952,0.0004952,0.0004952
78,163.145,0.56102,0.48762,0.93266,0.94975,0.99493,0.982,0.74945,0.94405,0.54546,1.20359,0.0004754,0.0004754,0.0004754
79,165.281,0.55093,0.4763,0.92426,0.94956,0.99119,0.9875,0.75993,0.91852,0.52393,1.19741,0.0004556,0.0004556,0.0004556
80,167.29,0.59927,0.52105,0.90881,1,0.99551,0.995,0.7502,0.93344,0.51797,1.22301,0.0004358,0.0004358,0.0004358
81,169.268,0.62208,0.53777,0.92652,1,0.99965,0.995,0.73962,0.95489,0.50717,1.23011,0.000416,0.000416,0.000416
82,171.477,0.53886,0.45239,0.86597,1,0.99474,0.995,0.76273,0.94474,0.5024,1.20468,0.0003962,0.0003962,0.0003962
83,173.426,0.54292,0.47738,0.91717,0.99103,1,0.995,0.75857,0.9394,0.49411,1.19571,0.0003764,0.0003764,0.0003764
84,175.652,0.48643,0.43058,0.87045,0.94557,1,0.9925,0.75634,0.90709,0.50989,1.17717,0.0003566,0.0003566,0.0003566
85,177.969,0.57075,0.44971,0.90651,0.94659,1,0.9875,0.73922,0.90591,0.51327,1.17021,0.0003368,0.0003368,0.0003368
86,180.096,0.55864,0.55499,0.89524,0.94595,1,0.9845,0.75034,0.91259,0.51293,1.16002,0.000317,0.000317,0.000317
87,182.459,0.59434,0.46891,0.90874,0.94521,1,0.982,0.75482,0.91156,0.52164,1.15203,0.0002972,0.0002972,0.0002972
88,184.493,0.59325,0.4754,0.95614,1,0.99943,0.995,0.76308,0.92136,0.51176,1.15421,0.0002774,0.0002774,0.0002774
89,186.587,0.49846,0.40346,0.84339,0.9973,1,0.995,0.73906,0.91777,0.51326,1.14968,0.0002576,0.0002576,0.0002576
90,188.825,0.52187,0.4517,0.88119,1,0.98656,0.995,0.74531,0.91097,0.50734,1.14377,0.0002378,0.0002378,0.0002378
91,205.319,0.42094,0.44804,0.83888,1,0.99,0.995,0.75582,0.91253,0.50708,1.14195,0.000218,0.000218,0.000218
92,208.143,0.43349,0.44583,0.8711,1,0.99306,0.995,0.76501,0.91402,0.51561,1.1564,0.0001982,0.0001982,0.0001982
93,210.848,0.39928,0.44197,0.83486,0.94961,0.9922,0.9875,0.76102,0.91344,0.53006,1.16555,0.0001784,0.0001784,0.0001784
94,213.495,0.38001,0.42374,0.83741,0.94111,0.94737,0.98497,0.76744,0.9153,0.53647,1.17562,0.0001586,0.0001586,0.0001586
95,215.791,0.40289,0.45646,0.8253,0.94234,0.94737,0.98497,0.75969,0.91414,0.54083,1.18499,0.0001388,0.0001388,0.0001388
96,218.14,0.35507,0.42703,0.80705,0.944,0.94737,0.98497,0.75961,0.91389,0.55307,1.18877,0.000119,0.000119,0.000119
97,220.258,0.35591,0.43833,0.8352,0.94953,0.99055,0.9875,0.7628,0.90535,0.55365,1.18412,9.92e-05,9.92e-05,9.92e-05
98,222.343,0.35809,0.41195,0.83174,0.94961,0.99221,0.9875,0.75163,0.89854,0.54883,1.1799,7.94e-05,7.94e-05,7.94e-05
99,224.449,0.37004,0.42691,0.86232,0.94969,0.99372,0.9875,0.76003,0.89492,0.54557,1.17978,5.96e-05,5.96e-05,5.96e-05
100,226.498,0.37187,0.43362,0.84811,0.94588,0.94737,0.98497,0.75978,0.88729,0.54425,1.17689,3.98e-05,3.98e-05,3.98e-05
